{'diabetes_readmission_causal_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.01375947357098106, 'invariance': 0.25697157586807007, 'label_shift': 0.003375592508434266, '(latent)_covariate_shift': 0.2882694048348382, 'concept_shift': 0.20493252076789212, 'residual': 0.01904462461654597, 'overall': -0.09041470069190977}
run_0Train Datashifts with Representations:{'informativeness': 0.07518415869311407, 'invariance': 0.11054204095254547, 'label_shift': 0.003375592508434266, '(latent)_covariate_shift': 0.09374602674260973, 'concept_shift': 0.024938386645107755, 'residual': 0.0593472802812215, 'overall': -0.0033425257614120504}
run_0Test Datashifts with Representations:{'informativeness': 0.04660420759994022, 'invariance': 0.0009617966939257095, 'label_shift': -0.006770410690669257, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': 0.0005650555576821692, 'residual': 0.04659546963508248, 'overall': -0.004163938423629783}
run_1Train Datashifts with Representations:{'informativeness': 0.06069208677293379, 'invariance': 0.18685149770482265, 'label_shift': -0.0031805683642138712, '(latent)_covariate_shift': 0.13860522497359762, 'concept_shift': 0.006832666789477041, 'residual': 0.03404763592959773, 'overall': -0.0024853030991219133}
run_1Test Datashifts with Representations:{'informativeness': 0.04350626553399571, 'invariance': 0.012215436242634607, 'label_shift': 0.0007466110447008205, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': 0.001039942675307547, 'residual': 0.04339344325386599, 'overall': -0.006165606573839889}
run_2Train Datashifts with Representations:{'informativeness': 0.054711498601276345, 'invariance': 0.05613576846637255, 'label_shift': 0.03056067027352713, '(latent)_covariate_shift': 0.05298069455385805, 'concept_shift': 0.01652569401720646, 'residual': 0.036613766797790354, 'overall': 0.023537682975389065}
run_2Test Datashifts with Representations:{'informativeness': 0.05001421011114664, 'invariance': 0.0013224704541496726, 'label_shift': 0.0008123026729152539, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': 0.0010699988219927702, 'residual': 0.05017567227623434, 'overall': -0.0009755903840502414}
run_3Train Datashifts with Representations:{'informativeness': 0.06069208677293379, 'invariance': 0.18685149770482265, 'label_shift': -0.0031805683642138712, '(latent)_covariate_shift': 0.13860522497359762, 'concept_shift': 0.006832666789477041, 'residual': 0.03404763592959773, 'overall': -0.0024853030991219133}
run_3Test Datashifts with Representations:{'informativeness': 0.04350626553399571, 'invariance': 0.012215436242634607, 'label_shift': 0.0007466110447008205, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': 0.001039942675307547, 'residual': 0.04339344325386599, 'overall': -0.006165606573839889}
run_4Train Datashifts with Representations:{'informativeness': 0.054711498601276345, 'invariance': 0.05613576846637255, 'label_shift': 0.03056067027352713, '(latent)_covariate_shift': 0.05298069455385805, 'concept_shift': 0.01652569401720646, 'residual': 0.036613766797790354, 'overall': 0.023537682975389065}
run_4Test Datashifts with Representations:{'informativeness': 0.05001421011114664, 'invariance': 0.0013224704541496726, 'label_shift': 0.0008123026729152539, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': 0.0010699988219927702, 'residual': 0.05017567227623434, 'overall': -0.0009755903840502414}
{'diabetes_readmission_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.047310823329308666, 'invariance': 0.45246196583376563, 'label_shift': 0.003375592508434266, '(latent)_covariate_shift': 0.5112834211657711, 'concept_shift': -0.0049067178741159425, 'residual': 0.05962285635834849, 'overall': 0.02123984982823801}
run_0Test Datashifts with Representations:{'informativeness': 0.058871362498228615, 'invariance': 0.00034865130154804766, 'label_shift': -0.006770410690669257, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': -4.808983469549263e-05, 'residual': 0.05880695649570663, 'overall': -0.003495124993587867}
run_1Train Datashifts with Representations:{'informativeness': 0.03916069171615847, 'invariance': 0.23183736155103668, 'label_shift': -0.0031805683642138712, '(latent)_covariate_shift': 0.27543050585667334, 'concept_shift': 0.0026920325007886658, 'residual': 0.023405030807815384, 'overall': 0.03461593262866013}
run_1Test Datashifts with Representations:{'informativeness': 0.04496839263859891, 'invariance': 0.001971683222548193, 'label_shift': -0.004868900844769146, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': 0.0001322470454152075, 'residual': 0.04489025695499836, 'overall': -0.0034323247901146686}
run_2Train Datashifts with Representations:{'informativeness': -0.03494281200815709, 'invariance': 0.03406036487489026, 'label_shift': -0.01792304390607593, '(latent)_covariate_shift': 0.035071165436601395, 'concept_shift': -0.05160094229133961, 'residual': -0.051600942291340886, 'overall': 0.0340024797566712}
run_2Test Datashifts with Representations:{'informativeness': -0.0178894185070239, 'invariance': -0.0178894185070239, 'label_shift': 0.0011850967860879177, '(latent)_covariate_shift': -0.01788941850702502, 'concept_shift': -0.01788941850702278, 'residual': -0.0178894185070239, 'overall': 0.009537257646554788}
run_3Train Datashifts with Representations:{'informativeness': 0.03916069171615847, 'invariance': 0.23183736155103668, 'label_shift': -0.0031805683642138712, '(latent)_covariate_shift': 0.27543050585667334, 'concept_shift': 0.0026920325007886658, 'residual': 0.023405030807815384, 'overall': 0.03461593262866013}
run_3Test Datashifts with Representations:{'informativeness': 0.04496839263859891, 'invariance': 0.001971683222548193, 'label_shift': -0.004868900844769146, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': 0.0001322470454152075, 'residual': 0.04489025695499836, 'overall': -0.0034323247901146686}
run_4Train Datashifts with Representations:{'informativeness': -0.03494281200815709, 'invariance': 0.03406036487489026, 'label_shift': -0.01792304390607593, '(latent)_covariate_shift': 0.035071165436601395, 'concept_shift': -0.05160094229133961, 'residual': -0.051600942291340886, 'overall': 0.0340024797566712}
run_4Test Datashifts with Representations:{'informativeness': -0.0178894185070239, 'invariance': -0.0178894185070239, 'label_shift': 0.0011850967860879177, '(latent)_covariate_shift': -0.01788941850702502, 'concept_shift': -0.01788941850702278, 'residual': -0.0178894185070239, 'overall': 0.009537257646554788}
{'acsfoodstamps_causal_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.07653281036755563, 'invariance': 2.5281175699225154, 'label_shift': -0.0058060624703405814, '(latent)_covariate_shift': 2.594300287629677, 'concept_shift': 0.11039461714708283, 'residual': 0.07993118569577488, 'overall': -0.028407356283350248}
run_0Test Datashifts with Representations:{'informativeness': 0.08068302273119562, 'invariance': -0.00014414905758298996, 'label_shift': -0.0015958378682764684, '(latent)_covariate_shift': 7.273811825660174e-05, 'concept_shift': 0.12524739571823784, 'residual': 0.07962408928188393, 'overall': -0.06225423975602566}
run_1Train Datashifts with Representations:{'informativeness': 0.06504501153588148, 'invariance': 2.592678168542671, 'label_shift': 0.005422396634699895, '(latent)_covariate_shift': 2.646859940041635, 'concept_shift': 0.10994543685187243, 'residual': 0.0735319720599203, 'overall': -0.033657594883143314}
run_1Test Datashifts with Representations:{'informativeness': 0.08497948786654462, 'invariance': 0.0001196535998691159, 'label_shift': 0.010002292596673068, '(latent)_covariate_shift': 0.00037842436258876515, 'concept_shift': 0.14081262592845173, 'residual': 0.08561229676387225, 'overall': -0.06590859018185714}
run_2Train Datashifts with Representations:{'informativeness': 0.07132508748913054, 'invariance': 2.4761219366808485, 'label_shift': 0.001190637798646246, '(latent)_covariate_shift': 2.539826195556549, 'concept_shift': 0.10491097655951583, 'residual': 0.0764067667030272, 'overall': -0.025089719156481373}
run_2Test Datashifts with Representations:{'informativeness': 0.0877400972989306, 'invariance': 0.0002839701225443713, 'label_shift': 0.011090974624432072, '(latent)_covariate_shift': 0.0003987116124128229, 'concept_shift': 0.12189678443422, 'residual': 0.08622994810573678, 'overall': -0.05383538496676592}
run_3Train Datashifts with Representations:{'informativeness': 0.06504501153588148, 'invariance': 2.592678168542671, 'label_shift': 0.005422396634699895, '(latent)_covariate_shift': 2.646859940041635, 'concept_shift': 0.10994543685187243, 'residual': 0.0735319720599203, 'overall': -0.033657594883143314}
run_3Test Datashifts with Representations:{'informativeness': 0.08497948786654462, 'invariance': 0.0001196535998691159, 'label_shift': 0.010002292596673068, '(latent)_covariate_shift': 0.00037842436258876515, 'concept_shift': 0.14081262592845173, 'residual': 0.08561229676387225, 'overall': -0.06590859018185714}
run_4Train Datashifts with Representations:{'informativeness': 0.07132508748913054, 'invariance': 2.4761219366808485, 'label_shift': 0.001190637798646246, '(latent)_covariate_shift': 2.539826195556549, 'concept_shift': 0.10491097655951583, 'residual': 0.0764067667030272, 'overall': -0.025089719156481373}
run_4Test Datashifts with Representations:{'informativeness': 0.0877400972989306, 'invariance': 0.0002839701225443713, 'label_shift': 0.011090974624432072, '(latent)_covariate_shift': 0.0003987116124128229, 'concept_shift': 0.12189678443422, 'residual': 0.08622994810573678, 'overall': -0.05383538496676592}
{'acsfoodstamps_arguablycausal_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.12608183305292772, 'invariance': 1.606554557358885, 'label_shift': -0.0058060624703405814, '(latent)_covariate_shift': 1.7213761033525918, 'concept_shift': -0.011665998875310899, 'residual': 0.12081405148033461, 'overall': 0.06560852277193163}
run_0Test Datashifts with Representations:{'informativeness': 0.1673807695030726, 'invariance': 3.6067376021979855e-05, 'label_shift': -0.0015958378682764684, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.004039546114489133, 'residual': 0.15203338158058202, 'overall': 0.012511662243096772}
run_1Train Datashifts with Representations:{'informativeness': 0.11585593678048961, 'invariance': 1.720180027882564, 'label_shift': 0.005422396634699895, '(latent)_covariate_shift': 1.8239829294274026, 'concept_shift': -0.007941067057316734, 'residual': 0.0857094265704199, 'overall': 0.08872969282849717}
run_1Test Datashifts with Representations:{'informativeness': 0.1497827840508443, 'invariance': 0.00043280851226680154, 'label_shift': 0.010002292596673068, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.004580556754823476, 'residual': 0.11991113795782828, 'overall': 0.03236610975780742}
run_2Train Datashifts with Representations:{'informativeness': 0.12565485878609362, 'invariance': 1.4781300513742506, 'label_shift': 0.001190637798646246, '(latent)_covariate_shift': 1.604355400305135, 'concept_shift': -0.01287214748359144, 'residual': 0.1325963711017636, 'overall': 0.06320255479089104}
run_2Test Datashifts with Representations:{'informativeness': 0.17255663069510277, 'invariance': 1.1211992763352213e-15, 'label_shift': 0.011090974624432072, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.0037510071063120132, 'residual': 0.16703769095265994, 'overall': 0.009188923501502327}
run_3Train Datashifts with Representations:{'informativeness': 0.11585593678048961, 'invariance': 1.720180027882564, 'label_shift': 0.005422396634699895, '(latent)_covariate_shift': 1.8239829294274026, 'concept_shift': -0.007941067057316734, 'residual': 0.0857094265704199, 'overall': 0.08872969282849717}
run_3Test Datashifts with Representations:{'informativeness': 0.1497827840508443, 'invariance': 0.00043280851226680154, 'label_shift': 0.010002292596673068, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.004580556754823476, 'residual': 0.11991113795782828, 'overall': 0.03236610975780742}
run_4Train Datashifts with Representations:{'informativeness': 0.12565485878609362, 'invariance': 1.4781300513742506, 'label_shift': 0.001190637798646246, '(latent)_covariate_shift': 1.604355400305135, 'concept_shift': -0.01287214748359144, 'residual': 0.1325963711017636, 'overall': 0.06320255479089104}
run_4Test Datashifts with Representations:{'informativeness': 0.17255663069510277, 'invariance': 1.1211992763352213e-15, 'label_shift': 0.011090974624432072, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.0037510071063120132, 'residual': 0.16703769095265994, 'overall': 0.009188923501502327}
{'acsfoodstamps_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.1819817686260669, 'invariance': 1.6555529939587643, 'label_shift': -0.0058060624703405814, '(latent)_covariate_shift': 1.7299537492754344, 'concept_shift': -0.007181679154941087, 'residual': 0.17971664702524337, 'overall': 0.04015330760145888}
run_0Test Datashifts with Representations:{'informativeness': 0.19900536852370915, 'invariance': 0.0009016844005559033, 'label_shift': -0.0015958378682764684, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.0025247163215560485, 'residual': 0.19899804596456458, 'overall': -0.0025037967360496405}
run_1Train Datashifts with Representations:{'informativeness': 0.15001437551978458, 'invariance': 1.4783440130303624, 'label_shift': 0.005422396634699895, '(latent)_covariate_shift': 1.5651296712190104, 'concept_shift': -0.00878007684246894, 'residual': 0.15195264529756355, 'overall': 0.04855579605512936}
run_1Test Datashifts with Representations:{'informativeness': 0.1859158207114276, 'invariance': 0.0011180886566887435, 'label_shift': 0.010002292596673068, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.0023804468174674887, 'residual': 0.18646359412805655, 'overall': 0.0027041051446294873}
run_2Train Datashifts with Representations:{'informativeness': 0.17245776330138887, 'invariance': 1.5458389972156876, 'label_shift': 0.001190637798646246, '(latent)_covariate_shift': 1.6486622279713326, 'concept_shift': -0.009319275328773873, 'residual': 0.1811989193538243, 'overall': 0.04792541588909702}
run_2Test Datashifts with Representations:{'informativeness': 0.20314981161149975, 'invariance': 1.1211992763352213e-15, 'label_shift': 0.011090974624432072, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.002416514193488988, 'residual': 0.20313355266738797, 'overall': 0.00435348915958278}
run_3Train Datashifts with Representations:{'informativeness': 0.15001437551978458, 'invariance': 1.4783440130303624, 'label_shift': 0.005422396634699895, '(latent)_covariate_shift': 1.5651296712190104, 'concept_shift': -0.00878007684246894, 'residual': 0.15195264529756355, 'overall': 0.04855579605512936}
run_3Test Datashifts with Representations:{'informativeness': 0.1859158207114276, 'invariance': 0.0011180886566887435, 'label_shift': 0.010002292596673068, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.0023804468174674887, 'residual': 0.18646359412805655, 'overall': 0.0027041051446294873}
run_4Train Datashifts with Representations:{'informativeness': 0.17245776330138887, 'invariance': 1.5458389972156876, 'label_shift': 0.001190637798646246, '(latent)_covariate_shift': 1.6486622279713326, 'concept_shift': -0.009319275328773873, 'residual': 0.1811989193538243, 'overall': 0.04792541588909702}
run_4Test Datashifts with Representations:{'informativeness': 0.20314981161149975, 'invariance': 1.1211992763352213e-15, 'label_shift': 0.011090974624432072, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.002416514193488988, 'residual': 0.20313355266738797, 'overall': 0.00435348915958278}
{'brfss_diabetes_causal_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.40575382110614866, 'invariance': 0.3927679358234868, 'label_shift': 0.017554929267790703, '(latent)_covariate_shift': 0.4022993597633462, 'concept_shift': 0.043655480461925696, 'residual': 0.4192639872428213, 'overall': -0.021794729763810472}
run_0Test Datashifts with Representations:{'informativeness': 0.320603532232479, 'invariance': 0.43611074916140063, 'label_shift': 0.015683151311908138, '(latent)_covariate_shift': 0.45180675716950647, 'concept_shift': 0.06514086895678033, 'residual': 0.40313456637273315, 'overall': -0.09941188895863728}
run_1Train Datashifts with Representations:{'informativeness': 0.02745115455114848, 'invariance': 0.010187023168985045, 'label_shift': -0.008925562674817243, '(latent)_covariate_shift': 0.013060146813211002, 'concept_shift': 0.033669894344752246, 'residual': 0.02643943711704958, 'overall': -0.01884944925357287}
run_1Test Datashifts with Representations:{'informativeness': 0.04044141428870524, 'invariance': 0.15719965891915008, 'label_shift': 0.013249473317606253, '(latent)_covariate_shift': 0.15019635816955557, 'concept_shift': 0.12779367786309556, 'residual': 0.04616205199177709, 'overall': -0.06649439035061375}
run_2Train Datashifts with Representations:{'informativeness': 0.024779113994668537, 'invariance': 0.006885943663801567, 'label_shift': -2.2532771176831046e-05, '(latent)_covariate_shift': 0.006466809980712902, 'concept_shift': 0.032326023453650994, 'residual': 0.019251087151020873, 'overall': -0.01085581811031058}
run_2Test Datashifts with Representations:{'informativeness': 0.03184344558914692, 'invariance': 0.1336726584843891, 'label_shift': -0.0021312183477133926, '(latent)_covariate_shift': 0.1432861943562174, 'concept_shift': 0.10128778051197597, 'residual': 0.034573977931033874, 'overall': -0.049633263835817495}
run_3Train Datashifts with Representations:{'informativeness': 0.02745115455114848, 'invariance': 0.010187023168985045, 'label_shift': -0.008925562674817243, '(latent)_covariate_shift': 0.013060146813211002, 'concept_shift': 0.033669894344752246, 'residual': 0.02643943711704958, 'overall': -0.01884944925357287}
run_3Test Datashifts with Representations:{'informativeness': 0.04044141428870524, 'invariance': 0.15719965891915008, 'label_shift': 0.013249473317606253, '(latent)_covariate_shift': 0.15019635816955557, 'concept_shift': 0.12779367786309556, 'residual': 0.04616205199177709, 'overall': -0.06649439035061375}
run_4Train Datashifts with Representations:{'informativeness': 0.024779113994668537, 'invariance': 0.006885943663801567, 'label_shift': -2.2532771176831046e-05, '(latent)_covariate_shift': 0.006466809980712902, 'concept_shift': 0.032326023453650994, 'residual': 0.019251087151020873, 'overall': -0.01085581811031058}
run_4Test Datashifts with Representations:{'informativeness': 0.03184344558914692, 'invariance': 0.1336726584843891, 'label_shift': -0.0021312183477133926, '(latent)_covariate_shift': 0.1432861943562174, 'concept_shift': 0.10128778051197597, 'residual': 0.034573977931033874, 'overall': -0.049633263835817495}
{'brfss_diabetes_arguablycausal_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.026461787317131037, 'invariance': 0.035562432757913195, 'label_shift': 0.004410807874824522, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.0009377517765780433, 'residual': 0.02717140576457989, 'overall': -0.016754306777282214}
run_0Test Datashifts with Representations:{'informativeness': 0.06514471041357092, 'invariance': 0.16507371067407675, 'label_shift': 0.004553317822596618, '(latent)_covariate_shift': 0.1295642828104366, 'concept_shift': -0.0005191601160111734, 'residual': 0.02207390707522259, 'overall': 0.02785232837583216}
run_1Train Datashifts with Representations:{'informativeness': 0.043871307148236435, 'invariance': 0.003943366445097828, 'label_shift': 0.0011844314582365686, '(latent)_covariate_shift': -2.40449173489476e-05, 'concept_shift': 0.0018153912597857998, 'residual': 0.044138654773566315, 'overall': -0.00256653320732788}
run_1Test Datashifts with Representations:{'informativeness': 0.057386465539023684, 'invariance': 0.0888578277247766, 'label_shift': 0.010314087944422293, '(latent)_covariate_shift': 0.07527696813166225, 'concept_shift': 0.007095888976907921, 'residual': 0.05126719121285245, 'overall': 0.0009379440133712447}
run_2Train Datashifts with Representations:{'informativeness': 0.052634299937629456, 'invariance': 0.0001442695040896813, 'label_shift': 0.001173587585282219, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.0011180886566893842, 'residual': 0.052694306946315016, 'overall': -0.00010439229643398329}
run_2Test Datashifts with Representations:{'informativeness': 0.04673395619923277, 'invariance': 0.10574602576988394, 'label_shift': 0.0193389075900948, '(latent)_covariate_shift': 0.11315061509582909, 'concept_shift': 0.004624210408192308, 'residual': 0.05045090149804097, 'overall': 0.007342697955115621}
run_3Train Datashifts with Representations:{'informativeness': 0.043871307148236435, 'invariance': 0.003943366445097828, 'label_shift': 0.0011844314582365686, '(latent)_covariate_shift': -2.40449173489476e-05, 'concept_shift': 0.0018153912597857998, 'residual': 0.044138654773566315, 'overall': -0.00256653320732788}
run_3Test Datashifts with Representations:{'informativeness': 0.057386465539023684, 'invariance': 0.0888578277247766, 'label_shift': 0.010314087944422293, '(latent)_covariate_shift': 0.07527696813166225, 'concept_shift': 0.007095888976907921, 'residual': 0.05126719121285245, 'overall': 0.0009379440133712447}
run_4Train Datashifts with Representations:{'informativeness': 0.052634299937629456, 'invariance': 0.0001442695040896813, 'label_shift': 0.001173587585282219, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.0011180886566893842, 'residual': 0.052694306946315016, 'overall': -0.00010439229643398329}
run_4Test Datashifts with Representations:{'informativeness': 0.04673395619923277, 'invariance': 0.10574602576988394, 'label_shift': 0.0193389075900948, '(latent)_covariate_shift': 0.11315061509582909, 'concept_shift': 0.004624210408192308, 'residual': 0.05045090149804097, 'overall': 0.007342697955115621}
{'brfss_diabetes_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.11857388342037983, 'invariance': 0.0023443794414440672, 'label_shift': 0.004410807874824522, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.0008656170245334429, 'residual': 0.11850281204325457, 'overall': 0.0006714770815487853}
run_0Test Datashifts with Representations:{'informativeness': 0.14316948135513846, 'invariance': 0.12804395470360333, 'label_shift': 0.007387840843629615, '(latent)_covariate_shift': 0.12419069720293814, 'concept_shift': 0.005522824641078829, 'residual': 0.1398038649520535, 'overall': 0.002371495754027758}
run_1Train Datashifts with Representations:{'informativeness': 0.0782615977706043, 'invariance': 0.009617966939259818, 'label_shift': 0.012883342436454523, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': 0.001358537830171172, 'residual': 0.07721584269230339, 'overall': 0.00197512899446374}
run_1Test Datashifts with Representations:{'informativeness': 0.10112053380817108, 'invariance': 0.10272798637906318, 'label_shift': -0.000524659736159124, '(latent)_covariate_shift': 0.08666505158490595, 'concept_shift': 0.0022993454534924037, 'residual': 0.09338806989222179, 'overall': -0.0017110060759550766}
run_2Train Datashifts with Representations:{'informativeness': 0.07467029656351223, 'invariance': 1.1211992763352213e-15, 'label_shift': -0.009360219372641473, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.000577078016355682, 'residual': 0.0746330774758595, 'overall': -0.004931429606846394}
run_2Test Datashifts with Representations:{'informativeness': 0.07125854162270867, 'invariance': 0.10379585305333613, 'label_shift': 0.005067784101228259, '(latent)_covariate_shift': 0.12118709271372759, 'concept_shift': -0.006455778193615094, 'residual': 0.08892889348463454, 'overall': -0.003212950884308466}
run_3Train Datashifts with Representations:{'informativeness': 0.0782615977706043, 'invariance': 0.009617966939259818, 'label_shift': 0.012883342436454523, '(latent)_covariate_shift': -4.80898346978952e-05, 'concept_shift': 0.001358537830171172, 'residual': 0.07721584269230339, 'overall': 0.00197512899446374}
run_3Test Datashifts with Representations:{'informativeness': 0.10112053380817108, 'invariance': 0.10272798637906318, 'label_shift': -0.000524659736159124, '(latent)_covariate_shift': 0.08666505158490595, 'concept_shift': 0.0022993454534924037, 'residual': 0.09338806989222179, 'overall': -0.0017110060759550766}
run_4Train Datashifts with Representations:{'informativeness': 0.07467029656351223, 'invariance': 1.1211992763352213e-15, 'label_shift': -0.009360219372641473, '(latent)_covariate_shift': 0.0, 'concept_shift': 0.000577078016355682, 'residual': 0.0746330774758595, 'overall': -0.004931429606846394}
run_4Test Datashifts with Representations:{'informativeness': 0.07125854162270867, 'invariance': 0.10379585305333613, 'label_shift': 0.005067784101228259, '(latent)_covariate_shift': 0.12118709271372759, 'concept_shift': -0.006455778193615094, 'residual': 0.08892889348463454, 'overall': -0.003212950884308466}
{'acsincome_causal_irm'}
run_0Train Datashifts with Representations:{'informativeness': 0.12579463333273697, 'invariance': 1.3337261572827095, 'label_shift': 0.015213404934141922, '(latent)_covariate_shift': 1.3216001730144318, 'concept_shift': 0.20655779509164718, 'residual': 0.12616826657625665, 'overall': -0.10210882045641115}
run_0Test Datashifts with Representations:{'informativeness': 0.15856739683350887, 'invariance': -0.0001592053123352428, 'label_shift': 0.003482233702930959, '(latent)_covariate_shift': -0.00017583857124067455, 'concept_shift': 0.10839669749407493, 'residual': 0.15717172423172263, 'overall': -0.051069875923238445}
run_1Train Datashifts with Representations:{'informativeness': 0.12364556568342625, 'invariance': 1.337711312715413, 'label_shift': 0.008082415533674643, '(latent)_covariate_shift': 1.3252713057847, 'concept_shift': 0.19712802326525564, 'residual': 0.1235216372874669, 'overall': -0.10061887893518759}
run_1Test Datashifts with Representations:{'informativeness': 0.14524187916219156, 'invariance': 0.0009621915834681319, 'label_shift': 0.020133433797550723, '(latent)_covariate_shift': 0.0015546754655172178, 'concept_shift': 0.10334255667939156, 'residual': 0.1501063647916234, 'overall': -0.0461728051293277}
run_2Train Datashifts with Representations:{'informativeness': 0.1269498404169275, 'invariance': 1.3422003330340904, 'label_shift': 0.014770968001511706, '(latent)_covariate_shift': 1.3291327530961932, 'concept_shift': 0.20374525544095967, 'residual': 0.13298143302379292, 'overall': -0.10705252629553799}
run_2Test Datashifts with Representations:{'informativeness': 0.1574026901425328, 'invariance': 0.0004613998977529533, 'label_shift': -0.00486302279645367, '(latent)_covariate_shift': 0.000515739079339451, 'concept_shift': 0.09902694127644407, 'residual': 0.15185414777776787, 'overall': -0.0463692700808907}
run_3Train Datashifts with Representations:{'informativeness': 0.12364556568342625, 'invariance': 1.337711312715413, 'label_shift': 0.008082415533674643, '(latent)_covariate_shift': 1.3252713057847, 'concept_shift': 0.19712802326525564, 'residual': 0.1235216372874669, 'overall': -0.10061887893518759}
run_3Test Datashifts with Representations:{'informativeness': 0.14524187916219156, 'invariance': 0.0009621915834681319, 'label_shift': 0.020133433797550723, '(latent)_covariate_shift': 0.0015546754655172178, 'concept_shift': 0.10334255667939156, 'residual': 0.1501063647916234, 'overall': -0.0461728051293277}
run_4Train Datashifts with Representations:{'informativeness': 0.1269498404169275, 'invariance': 1.3422003330340904, 'label_shift': 0.014770968001511706, '(latent)_covariate_shift': 1.3291327530961932, 'concept_shift': 0.20374525544095967, 'residual': 0.13298143302379292, 'overall': -0.10705252629553799}
